event_type,id,index,period,timestamp,minute,second,possession,possession_team,play_pattern,off_camera,team,player,position,duration,under_pressure,statsbomb_xg,key_pass_id,body_part,type,outcome,technique,first_time,follows_dribble,redirect,one_on_one,open_goal,deflected,start_location_x,start_location_y,end_location_x,end_location_y,end_location_z,assisted,x_distance,y_distance,distance,angle
shot,b6b2199c-75a3-4565-bb86-406fd8a71007,3322,2,00:46:42.694,91,42,178,Granada,From Free Kick,,Granada,Álvaro Vadillo Cifuentes,Left Wing,1.149958,,0.095102355,,foot,Free Kick,Off T,Normal,,,,,,,97.4,48.2,120.0,46.4,3.9,0,22.599999999999994,8.200000000000003,24.04163056034261,19.94238458169699
shot,a87633ce-d489-4285-8e71-09414f549537,246,1,00:05:23.333,5,23,11,Barcelona,From Throw In,,Barcelona,Antoine Griezmann,Right Center Forward,0.180049,,0.04895779,d762d1d4-e2fa-40b0-ae28-6eb184c9f81e,foot,Open Play,Blocked,Normal,True,,,,,,101.9,36.3,104.7,36.5,,1,18.099999999999994,3.700000000000003,18.47430648224717,11.553225192285074
shot,e2020cb0-6d8e-4454-979b-7ecff9407d8e,472,1,00:09:35.462,9,35,18,Barcelona,From Throw In,,Barcelona,Arturo Erasmo Vidal Pardo,Right Center Midfield,0.72678,,0.05391766,13b6e516-fe11-433b-9df0-eb96ee36d73e,foot,Open Play,Off T,Normal,True,,,,,,113.3,56.1,120.0,45.6,5.5,1,6.700000000000003,16.1,17.43846323504454,67.40540888336534
shot,7782593c-bef1-4b79-af1f-0d780e13fa91,634,1,00:13:00.139,13,0,22,Villarreal,From Free Kick,,Villarreal,Santiago Cazorla González,Left Midfield,0.413213,,0.051376965,4f31322f-77ee-40a2-adae-666199e66df3,foot,Open Play,Saved,Normal,,,,,,,111.4,24.5,117.0,36.5,0.2,1,8.599999999999994,15.5,17.725969649077026,60.976790845459234
shot,874aa317-7519-4ff1-9967-8494c01c425d,637,1,00:13:01.448,13,1,22,Villarreal,From Free Kick,,Villarreal,Gerard Moreno Balaguero,Right Center Forward,0.447932,,0.43895727,,foot,Open Play,Goal,Half Volley,True,,,,,,111.4,40.8,120.0,37.4,2.2,0,8.599999999999994,0.7999999999999972,8.637129152675667,5.314545669944735
shot,05d1d3e8-579e-44c2-a56e-1c4eedce15ac,688,1,00:15:01.430,15,1,23,Barcelona,From Kick Off,,Barcelona,Luis Alberto Suárez Díaz,Left Center Forward,0.312074,True,0.22345066,f7caec92-3bef-4c43-9de1-ac00548519ef,foot,Open Play,Saved,Normal,,,,True,,,112.9,28.8,117.0,35.5,0.2,1,7.099999999999994,11.2,13.2608446186508,57.628221917390455
shot,d4bf7fbb-9638-4399-ad70-964539d90e11,693,1,00:15:38.859,15,38,24,Barcelona,From Corner,,Barcelona,Gerard Piqué Bernabéu,Right Center Back,0.665872,True,0.10706825,8297ae85-6ad7-49fb-89e2-c28c7bd0c48f,head,Open Play,Saved,Normal,,,,,,,112.9,40.8,118.7,40.7,1.3,1,7.099999999999994,0.7999999999999972,7.144928271158494,6.428747748829838
shot,13deebe3-755b-4d92-8430-eca15577d085,706,1,00:15:58.131,15,58,25,Villarreal,Regular Play,,Villarreal,Alberto Moreno Pérez,Left Back,0.498035,,0.04441117,764ba1b6-9048-45d5-8fe9-4174d9b537de,foot,Open Play,Off T,Normal,,,,True,,,118.5,25.7,120.0,35.1,1.7,1,1.5,14.3,14.378456106272328,84.01185162422449
shot,d0bffe4b-8eca-45c0-8f6d-0d8a0699bd15,744,1,00:18:05.003,18,5,27,Barcelona,From Free Kick,,Barcelona,Lionel Andrés Messi Cuccittini,Center Attacking Midfield,0.352315,,0.023558686,,foot,Free Kick,Blocked,Normal,,,,,,,89.5,45.9,98.4,43.7,,0,30.5,5.899999999999999,31.065414853177156,10.948221499620722
shot,c2e328ea-c814-4515-b6e5-018bbf06cfcf,792,1,00:19:31.253,19,31,31,Barcelona,From Counter,,Barcelona,Luis Alberto Suárez Díaz,Left Center Forward,0.911746,,0.05461642,99d9168c-4714-47aa-b4aa-51d347ba60e9,foot,Open Play,Goal,Normal,True,,,,,,101.5,27.0,120.0,43.4,2.0,1,18.5,13.0,22.610838109190027,35.09581678702612
shot,bc805f98-29d8-47ad-9183-0fe894ee6bc8,1149,1,00:27:17.227,27,17,44,Villarreal,Regular Play,,Villarreal,Gerard Moreno Balaguero,Right Center Forward,0.585267,,0.24906944,0d9ba0d8-8435-4233-b810-f4c5cf3bf13a,head,Open Play,Wayward,Normal,,,,,,,113.4,37.3,113.7,52.7,,1,6.599999999999994,2.700000000000003,7.130918594402823,22.249023657212405
shot,d12189b9-27d8-476c-b9b5-089250f37ad5,1316,1,00:29:49.657,29,49,46,Villarreal,Regular Play,,Villarreal,Samuel Chimerenka Chukwueze,Right Midfield,0.828295,,0.028128445,b45ca520-9992-4277-9ef9-5e7a82ee2556,foot,Open Play,Off T,Normal,,,,,,,101.6,56.5,120.0,35.5,4.5,1,18.400000000000006,16.5,24.714570601165626,41.88382172771463
shot,2c770f58-7e98-4ed8-a9a7-a0b83e77f506,1564,1,00:36:30.756,36,30,54,Villarreal,From Counter,,Villarreal,Carlos Arturo Bacca Ahumada,Left Center Forward,0.381735,,0.1504323,4fc48f39-b2f0-4f6f-9acc-debf041b893d,foot,Open Play,Saved,Normal,,,,True,,,111.0,53.2,117.7,43.5,1.6,1,9.0,13.200000000000003,15.97623234683322,55.713123022791045
shot,aa991dbe-786c-4382-a4d0-872f6717959c,1581,1,00:37:21.177,37,21,56,Barcelona,Regular Play,,Barcelona,Arturo Erasmo Vidal Pardo,Right Center Midfield,0.386903,,0.2607526,cf344e89-b223-4317-b29d-7af149d17e95,foot,Open Play,Saved,Normal,,,,,,,107.4,51.1,115.1,44.0,1.5,1,12.599999999999994,11.100000000000001,16.79196236298783,41.37851529588268
shot,d47939f0-f03f-40fb-ad30-bebe39891216,1900,1,00:44:01.769,44,1,64,Barcelona,From Throw In,,Barcelona,Antoine Griezmann,Right Center Forward,1.383186,,0.09238996,5b7cfb22-3b4e-4f39-951a-249e8e44193e,foot,Open Play,Goal,Lob,True,,,,,,101.5,30.3,120.0,42.4,2.4,1,18.5,9.7,20.888752954640445,27.669115822703855
shot,a4f0784b-4a78-4764-a0ef-7c6a155ae028,2535,2,00:07:33.323,52,33,85,Barcelona,Regular Play,,Barcelona,Lionel Andrés Messi Cuccittini,Center Attacking Midfield,1.026645,,0.071963094,6c9c8178-de8a-4bdf-9521-820a4ace874d,foot,Open Play,Saved,Volley,True,,,,,,103.9,41.0,118.9,40.8,2.2,1,16.099999999999994,1.0,16.13102600580632,3.554178235532088
